time,tAve,hAve,cAve,wAve,load
0.0,0.05426345037216324,0.712908883477787,0.0,0.11665294164802252,
0.043478260869565216,0.05440127662187194,0.712908883477787,0.0,0.11665294164802252,
0.08695652173913043,0.03753398259107324,0.7152076557631074,0.0,0.12346686683331026,
0.13043478260869565,0.03747123473695318,0.7152076557631074,0.0,0.12346686683331026,
0.17391304347826086,0.03783745993077573,0.7152076557631074,0.0,0.12346686683331026,
0.21739130434782608,0.026835827284906126,0.7178072550388522,0.0,0.09315036547416904,
0.2608695652173913,0.02705907498307853,0.7178072550388522,0.0,0.09315036547416904,
0.30434782608695654,0.02892942343113789,0.7165017794200282,0.0,0.09315036547416904,
0.34782608695652173,0.07979232949555798,0.7187702798069411,0.0,0.06512217695800146,
0.391304347826087,0.08111364436032122,0.7181175419975291,0.0,0.06512217695800146,
0.43478260869565216,0.08781367120895947,0.7024518345716432,0.0,0.06512217695800146,
0.4782608695652174,0.3165527217079734,0.6465377462193236,0.0,0.075164518033217,
0.5217391304347826,0.32145983104165543,0.6360939412687331,0.0,0.075164518033217,
0.5652173913043478,0.31951700010147494,0.6432740571722642,0.0,0.075164518033217,
0.6086956521739131,0.34479421743513117,0.39586561547499444,0.0,0.08697775089455544,
0.6521739130434783,0.360648555132904,0.3754339760435764,0.0,0.09125558413922272,
0.6956521739130435,0.2656971718790595,0.5841624995506516,0.0021617760400022556,0.09376981321828612,
0.7391304347826086,0.31848634448006635,0.4877067712560757,0.0010808880200011278,0.10306881700056116,
0.782608695652174,0.2604702078529165,0.6150398359263106,0.0027022200500028196,0.10306881700056116,
0.8260869565217391,0.21812521620397324,0.5752228295521841,0.008647104160009023,0.09376981321828612,
0.8695652173913043,0.156856639203801,0.7394516624002212,0.008647104160009023,0.1005618755420168,
0.9130434782608695,0.11125928818625219,0.7305082084144525,0.012970656240013536,0.08874864268067835,
0.9565217391304348,0.11169669792046069,0.7292027327956287,0.0021617760400022556,0.08874864268067835,
1.0,0.07441136326109142,0.7335505342044073,0.011349324210011842,0.06512217695800146,
0.0,0.07431965485891692,0.7335505342044073,0.005404440100005639,0.06763640603706485,
0.043478260869565216,0.07305784296893865,0.7342032720138191,0.008647104160009023,0.06512217695800146,
0.08695652173913043,0.05668222963191408,0.7368104392641658,0.0,0.07014334749560923,
0.13043478260869565,0.055810411676879175,0.7368104392641658,0.0,0.07014334749560923,
0.17391304347826086,0.05585239230326052,0.7374631770735779,0.005404440100005639,0.07014334749560923,
0.21739130434782608,0.043921959269889586,0.723365932383931,0.003242664060003384,0.05833011463427078,
0.2608695652173913,0.04365932684880193,0.7240186701933429,0.007025772130007331,0.05833011463427078,
0.30434782608695654,0.04547990696007739,0.7227131945745191,0.006485328120006768,0.05833011463427078,
0.34782608695652173,0.10318744074899479,0.7382918702924836,0.011349324210011842,0.06407275960326196,
0.391304347826087,0.10431365724380805,0.7376391324830713,0.011889768220012408,0.06407275960326196,
0.43478260869565216,0.11111837201195413,0.7232789006760095,0.010808880200011278,0.06407275960326196,
0.4782608695652174,0.17958426725658289,0.6925377878431841,0.011889768220012408,0.07014334749560923,
0.5217391304347826,0.27595910818064956,0.5315102082517411,0.011349324210011842,0.07014334749560923,
0.5652173913043478,0.33560450424705446,0.6671434490665851,0.011889768220012408,0.07014334749560923,
0.6086956521739131,0.38579839613912525,0.3728949205646465,0.010808880200011278,0.07014334749560923,
0.6521739130434783,0.3992637029489859,0.36975042711756656,0.010808880200011278,0.075164518033217,
0.6956521739130435,0.3050655208509909,0.5944454850409522,0.10582363667124085,0.07014334749560923,
0.7391304347826086,0.35441795663016756,0.5162777673718127,0.07082792889323333,0.07265028895415358,
0.782608695652174,0.29610736707247315,0.6592746474742833,0.1358331610178519,0.07014334749560923,
0.8260869565217391,0.23918723382162815,0.8047784191636255,0.19543395304246478,0.07014334749560923,
0.8695652173913043,0.19237923431386345,0.7859417303795531,0.20324297736087873,0.07014334749560923,
